customer_id,name,gender,occupation,birthdate,salary
207879,Dakota Matthews,M,Occupational therapist,1998-01-12,384683.24
622691,Mr. Adam Cole,M,"Development worker, international aid",1945-02-16,185774.92
217019,Nicholas Serrano,M,Counselling psychologist,1936-10-05,119895.12
794347,Gregory Edwards,M,"Chemist, analytical",1988-02-22,373232.1
552079,Erin Jenkins,F,Applications developer,2003-04-20,101790.47
277241,Tina Anderson,F,Theatre manager,1950-09-29,385420.6
568047,Laura Brown,F,Commercial horticulturist,1991-03-06,255500.82
129568,William Murphy,M,Armed forces operational officer,1924-07-07,92574.66
546690,Nicole Green,F,Tax inspector,1963-03-17,330652.72
823209,Kayla Oneal,F,Biomedical scientist,2014-05-13,147075.1
899547,Nicholas Brown,M,"Engineer, site",1914-09-08,80995.6
538823,David Lewis,M,IT consultant,2007-04-16,179855.57
662035,Thomas Jones,M,Primary school teacher,1912-04-20,416669.59
413892,Craig Spencer,M,Counsellor,1969-12-04,297601.66
311687,Scott Tate,M,Set designer,1918-06-08,45518.44
244196,Nicole Dean,F,Drilling engineer,1924-06-29,146781.19
236493,Vincent Mills,M,Sub,1972-01-19,280804.59
181981,Michelle Morales,F,"Sales professional, IT",1919-06-23,65051.87
611740,Charles Lynch,M,International aid/development worker,1925-09-04,203455.07
738152,Shannon Dixon,F,Trading standards officer,1961-02-07,198107.84
407629,Jennifer Good,F,Estate manager/land agent,1936-06-07,119075.38
847964,Robert Potter,M,"Nurse, mental health",1999-01-03,170407.78
213318,Nicole Obrien,F,Primary school teacher,1923-06-06,138775.81
314248,Emily Pollard,F,Consulting civil engineer,1993-03-04,152028.01
576947,Nicole Moon,F,Physiological scientist,2002-03-20,176404.73
339051,Miguel Clark,M,Equities trader,2004-06-02,360839.98
351382,Melissa Webb,F,Film/video editor,2012-11-14,260296.32
143087,Angela Harris,F,Contracting civil engineer,1961-04-04,122179.91
437233,Edward Barrett,M,Therapeutic radiographer,1974-11-14,269992.72
188954,James Rosales,M,Psychotherapist,1911-12-04,384973.73
755340,James Cantu,M,Risk manager,1938-07-05,172311.81
283198,Brianna Sexton,F,Cytogeneticist,1963-06-28,188545.69
442927,Heather Alvarado,F,Dealer,1909-04-11,179541.24
477158,Jennifer Foster,F,Control and instrumentation engineer,1920-06-18,312877.25
458645,Mr. Jacob Curtis,M,Technical sales engineer,2001-07-17,175415.03
406171,Nathaniel Mooney,M,Dentist,1963-05-21,120071.85
670957,Shannon Carr,F,Audiological scientist,1920-08-22,82920.34
183714,Shelby Clark,F,Travel agency manager,2017-05-22,355585.09
922946,Matthew Young,M,Race relations officer,1916-09-01,363699.55
226859,Ann Fowler,F,"Accountant, chartered certified",1911-11-11,278526.43
627224,Marissa Morgan,F,"Scientist, research (life sciences)",1950-11-23,95978.19
529877,Sarah Hernandez,F,"Restaurant manager, fast food",1957-03-08,276618.09
414307,Charlotte Keith,F,Graphic designer,1971-02-23,33889.31
771608,Justin Wheeler,M,Psychiatric nurse,2013-12-02,108438.92
249361,Christopher Rivera,M,Environmental consultant,1959-04-18,295060.68
593788,Samuel Gomez,M,Commercial/residential surveyor,2007-01-05,418348.15
450469,Alicia Rangel,F,Web designer,2002-11-07,191329.86
642455,Nicholas Salinas,M,IT sales professional,1959-11-23,265864.64
815360,Matthew Gomez,M,Veterinary surgeon,1954-06-09,229065.78
310616,Brenda Morales,F,Environmental manager,1995-02-24,329811.53
870835,Lisa Mcbride,F,Scientific laboratory technician,2017-08-01,89074.83
922121,Sarah Russell,F,"Journalist, broadcasting",1999-04-09,247089.49
802458,Mackenzie Johnson,F,"Surveyor, hydrographic",1934-11-11,396239.19
334951,Richard Rodriguez,M,"Psychologist, clinical",1986-01-06,231599.8
218181,Hunter Sawyer,M,Stage manager,1950-07-07,326468.2
808212,Lisa Jones,F,"Merchandiser, retail",1949-06-25,37585.83
513894,Janice Fry,F,Radio producer,2016-02-24,100066.11
315896,Robin Schultz,F,Insurance broker,1957-07-26,185180.81
879044,Yvette Barnes,F,Biomedical engineer,1907-02-02,73587.08
192745,Julia Freeman,F,Public librarian,1951-03-14,219892.54
226696,Rebecca Robinson,F,Mechanical engineer,1961-06-11,399293.57
689460,Javier Solomon,M,Race relations officer,1949-05-02,43719.86
413979,Lauren Lee,F,"Administrator, Civil Service",1926-12-10,364134.17
156676,Joshua Potter,M,Further education lecturer,1923-12-19,222905.6
596467,Jose Delgado,M,Acupuncturist,1938-08-08,324546.12
209274,Holly Jimenez,F,Press photographer,2017-07-24,263401.73
921539,Ashley Brown,F,"Surveyor, quantity",1937-03-28,111157.15
339823,David Hancock,M,Environmental education officer,1949-02-24,60460.82
381677,Eric Olson,M,Commissioning editor,1982-05-11,58137.66
492513,Aaron Alvarez,M,Air broker,1928-05-03,119015.11
353959,James Wyatt,M,Warehouse manager,1916-05-08,106501.14
771746,William Alvarado,M,Geochemist,1920-08-10,217249.15
336311,Mary Blevins,F,Publishing copy,1990-09-15,391134.5
947408,Daniel Butler,M,Paediatric nurse,1918-03-04,185877.73
612368,Wayne Young,M,Public librarian,1988-07-30,255265.94
639502,Robert Brown,M,Furniture designer,2003-05-15,124939.56
112632,Robin Patel,F,"Designer, textile",1978-08-29,392133.38
223212,Jacqueline Morris,F,Astronomer,1911-05-07,317920.97
435062,Steven Hamilton MD,M,"Teacher, primary school",1933-07-06,257702.23
194872,Michael Osborne,M,IT sales professional,1974-09-02,108491.33
232569,Katherine Gomez,F,Secondary school teacher,1978-07-09,364605.79
201859,Alexander Williams,M,Art gallery manager,1963-03-07,277250.11
977615,Brandy Thomas,F,Marine scientist,1938-10-20,246999.63
276824,Jacob Campbell,M,Musician,2016-04-26,120557.29
407593,Kathryn Todd,F,"Librarian, academic",1948-01-09,57331.76
542573,Dalton King,M,"Designer, furniture",1945-03-19,192484.83
128650,Lisa Kelly,F,"Education officer, community",2020-04-23,279747.06
699046,Rebecca Atkinson,F,Prison officer,1914-02-24,417005.5
341773,Jessica Baker,F,Information officer,1947-05-07,54290.87
663623,Kathryn Sanchez,F,"Pharmacist, community",2010-04-01,199281.62
648244,Sarah Lyons,F,"Administrator, charities/voluntary organisations",1952-03-27,393468.58
545319,Patricia Watts,F,Clinical molecular geneticist,1968-05-03,282405.88
748693,Tracy Parker,F,Food technologist,1929-12-31,251984.19
282762,Lauren Watkins,F,"Engineer, materials",1979-12-19,71242.61
490752,Amber Baker,F,Computer games developer,1948-01-30,362142.92
456207,Edgar Warren,M,Materials engineer,1930-09-24,196658.39
476923,Alexandra Foster,F,Materials engineer,1954-01-03,322339.98
366961,Michael Edwards,M,Health service manager,1926-05-14,100459.18
279633,Diana Ramirez,F,"Geologist, wellsite",1954-01-26,73667.37
978118,Noah Goodman,M,Air traffic controller,1952-04-26,298302.63
219554,Meredith Brown,F,Prison officer,1958-11-19,300485.94
813712,James Ellis,M,Games developer,1969-01-07,281320.52
262698,Patricia Stark,F,Database administrator,2014-06-02,308475.14
223993,Jessica Boyle,F,Scientific laboratory technician,1993-05-09,280984.06
831857,Amy Austin,F,"Therapist, nutritional",1979-08-14,30151.05
168556,Charles Walls,M,Artist,2007-01-25,334513.92
962364,Rachel Clark,F,Orthoptist,1970-12-05,231928.59
697291,Troy Jordan,M,Higher education careers adviser,1998-06-21,227528.84
968704,Regina Levy,F,Database administrator,1989-08-08,117818.52
354440,Mark Davis,M,"Engineer, civil (consulting)",2001-10-23,37921.89
540087,Michelle Vargas,F,Radiation protection practitioner,1907-05-29,214289.71
545086,David Gentry,M,Chartered management accountant,2008-07-18,242977.97
173889,Mark Lewis,M,"Research officer, political party",1993-12-25,134972.54
277101,Paul Adams,M,Television production assistant,1946-06-20,282041.21
905781,Michelle King,F,Financial controller,1916-07-20,126628.13
564068,Shelley Garcia,F,Pharmacologist,1960-07-01,95284.98
442075,Linda Adkins,F,Exercise physiologist,1930-12-27,331477.73
469452,April Cox,F,Applications developer,1996-07-29,344845.66
952676,Reginald Escobar,M,"Education officer, community",1914-03-03,316016.21
826591,Matthew King,M,Publishing copy,2005-12-19,348790.82
203785,Michael Allen,M,Occupational psychologist,1998-11-22,80857.05
316459,Cynthia Snyder,F,"Engineer, drilling",1981-01-07,135708.12
930143,Alexis Miller,F,Counsellor,1944-09-07,42974.81
459256,Kathy Romero,F,"Lighting technician, broadcasting/film/video",1977-12-14,349753.43
327943,Carolyn Ramos,F,Private music teacher,1906-05-14,49309.01
749869,Andrea Reynolds,F,"Producer, radio",2015-06-05,383271.1
278104,Veronica Garner,F,Chiropodist,2017-10-08,400860.93
693881,Holly Graves,F,Data processing manager,1979-02-23,146776.27
319305,Kelly Jackson,F,Quality manager,2020-08-06,293097.67
161483,Javier Davis,M,Financial manager,2012-05-29,153751.02
698076,Justin Walker,M,Trading standards officer,2013-03-18,303361.65
358330,Stanley Calderon,M,Leisure centre manager,2000-08-04,90830.29
540793,Mark Smith,M,Research scientist (physical sciences),1918-12-08,32380.84
676975,Amy French,F,Operational researcher,1997-12-16,75865.94
179500,Mrs. Margaret Franco MD,F,Historic buildings inspector/conservation officer,2014-10-05,278622.89
